Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O-10,,,,,,,,,,,,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90
O-9,,,,,,,,,,,,16444.80,16682.40,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90,16974.90
O-8,11635.50,12012.14,12270.00,12340.50,12656.10,13183.20,13306.20,13806.60,13950.90,14382.00,15006.30,15581.40,15965.70,15965.70,15965.70,15965.70,16365.60,16365.60,16774.20,16774.20,16774.20,16774.20
O-7,9668.40,10117.50,10325.40,10490.70,10789.80,11085.30,11427.00,11767.50,12109.50,13183.20,14089.80,14089.80,14089.80,14089.80,14162.10,14162.10,14445.60,14445.60,14445.60,14445.60,14445.60,14445.60
O-6,7332.00,8054.70,8583.30,8583.30,8616.30,8985.30,9034.50,9034.50,9547.80,10455.30,10988.10,11520.60,11823.60,12130.80,12725.40,12725.40,12979.50,12979.50,12979.50,12979.50,12979.50,12979.50
O-5,6112.20,6885.30,7361.70,7451.40,7749.30,7926.90,8318.10,8605.80,8976.90,9543.90,9813.90,10080.90,10384.20,10384.20,10384.20,10384.20,10384.20,10384.20,10384.20,10384.20,10384.20,10384.20
O-4,5273.70,6104.40,6512.40,6602.70,6980.70,7386.30,7891.80,8284.50,8557.50,8714.70,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30,8805.30
O-3,4636.50,5256.00,5672.40,6185.40,6482.10,6807.30,7017.30,7362.90,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50,7543.50
O-2,4006.50,4562.70,5255.10,5432.70,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30,5544.30
O-1,3477.30,3619.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50,4375.50
O-3E,,,,6185.42,6482.12,6807.16,7017.30,7362.90,7654.80,7822.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80,8050.80
O-2E,,,,5432.73,5535.32,5720.80,6018.60,6249.30,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60,6420.60
O-1E,,,,4375.64,4672.34,4844.87,5021.70,5194.80,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70,5432.70
W-5,,,,,,,,,,,,8520.30,8952.30,9274.50,9630.30,9630.30,10112.70,10112.70,10617.60,10617.60,11149.50,11149.50
W-4,4791.90,5154.30,5302.20,5447.70,5698.50,5946.60,6198.00,6575.40,6906.60,7221.90,7480.20,7731.90,8101.20,8404.80,8751.00,8751.00,8925.60,8925.60,8925.60,8925.60,8925.60,8925.60
W-3,4376.40,4558.20,4745.70,4806.60,5002.20,5338.00,5789.40,5978.70,6197.70,6422.70,6828.30,7101.60,7265.40,7439.10,7676.40,7676.40,7676.40,7676.40,7676.40,7676.40,7676.40,7676.40
W-2,3872.10,4238.40,4350.90,4428.60,4679.40,5069.70,5263.50,5453.70,5686.50,5868.60,6033.30,6230.70,6360.30,6462.90,6462.90,6462.90,6462.90,6462.90,6462.90,6462.90,6462.90,6462.90
W-1,3398.70,3765.00,3863.10,4071.00,4316.40,4678.80,4847.50,5084.70,5317.20,5500.20,5668.50,5873.10,5873.10,5873.10,5873.10,5873.10,5873.10,5873.10,5873.10,5873.10,5873.10,5873.10
E-9,,,,,,,5789.10,5920.50,6085.80,6279.90,6477.00,6790.50,7056.90,7336.20,7764.30,7764.30,8151.90,8151.90,8559.90,8559.90,8988.90,8988.80
E-8,,,,,,4739.10,4948.80,5078.40,5233.80,5402.40,5706.30,5860.50,6122.70,6268.20,6626.10,6626.10,6759.00,6759.00,6759.00,6759.00,6759.00,6759.00
E-7,3294.30,3595.50,3733.50,3915.30,4058.10,4302.60,4440.60,4685.10,4888.50,5027.40,5175.30,5232.60,5424.90,5528.10,5921.10,5921.10,5921.10,5921.10,5921.10,5921.10,5921.10,5921.10
E-6,2849.40,3135.60,3274.20,3408.60,3548.70,3864.30,3987.60,4225.50,4298.40,4351.20,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30,4413.30
E-5,2610.30,2786.10,2920.80,3058.50,3273.30,3497.70,3682.20,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40,3704.40
E-4,2393.40,2515.80,2652.00,2786.70,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50,2905.50
E-3,2160.60,2296.50,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70,2435.70
E-2,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70,2054.70
E-1,1833.30,1833.30,1833.30,1833.30,1833.30,1833.30,1833.30,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20,1833.20
E1 <4mos,1695.00,,,,,,,,,,,,,,,,,,,,,
