Rank,2 or less,Over 2,Over 3,Over 4,Over 6,Over 8,Over 10,Over 12,Over 14,Over 16,Over 18,Over 20,Over 22,Over 24,Over 26,Over 28,Over 30,Over 32,Over 34,Over 36,Over 38,Over 40
O-10,,,,,,,,,,,15800.1,15800.1,15800.1,15800.1,15800.1,15800.1,15800.1,15800.1,,15800.1,15800.1,15800.1
O-9,,,,,,,,,,,15078.6,15296.4,15610.2,15800.1,15800.1,15800.1,15800.1,15800.1,,15800.1,15800.1,15800.1
O-8,10668.90,11018.7,11250.60,11315.4,11604.9,12088.2,12200.7,12659.70 12791.70,13187.10,13759.5,14287.2,14639.4,14639.4,14639.4,14639.4,15006.0,15006.0,15380.7,,15380.7,15380.7,15380.7
O-7,8865.30,9276.9,9467.70,9619.2,9893.4,10164.6,10477.8,10790.10 11103.60,12088.20,12919.2,12919.2,12919.2,12919.2,12985.5,12985.5,13245.3,13245.3,13245.3,,13245.3,13245.3,13245.3
O-6,6722.70,7385.7,7870.50,7870.5,7900.5,8239.2,8283.9,8283.90 8754.30,9586.80,10075.2,10563.3,10841.4,11123.1,11668.2,11668.2,11901.3,11901.3,11901.3,,11901.3,11901.3,11901.3
O-5,5604.30,6313.5,6750.00,6832.5,7105.5,7268.4,7627.2,7890.90 8230.80,8751.30,8998.5,9243.6,9521.4,9521.4,9521.4,9521.4,9521.4,9521.4,,9521.4,9521.4,9521.4,9521.4
O-4,4835.40,5597.4,5971.20,6054.0,6400.8,6772.8,7236.0,7596.30 7846.50,7990.50,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,8073.9,,8073.9,8073.9,8073.9,8073.9
O-3,4251.60,4819.2,5201.40,5671.5,5943.6,6241.5,6434.4,6751.20 6916.80,6916.80,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,6916.8,,6916.8,6916.8,6916.8,6916.8
O-2,3673.50,4183.8,4818.30,4981.2,5083.8,5083.8,5083.8,5083.80 5083.80,5083.80,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,5083.8,,5083.8,5083.8,5083.8,5083.8
O-1,3188.40,3318.9,4011.90,4011.9,4011.9,4011.9,4011.9,4011.90 4011.90,4011.90,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,4011.9,,4011.9,4011.9,4011.9,4011.9
O-3E,,,,5671.5,5943.6,6241.5,6434.4,6751.20 7018.80,7172.70,7381.8,7381.8,7381.8,7381.8,7381.8,7381.8,7381.8,7381.8,,7381.8,7381.8,7381.8,7381.8
O-2E,,,,4981.2,5083.8,5245.5,5518.8,5730.00 5887.20,5887.20,5887.2,5887.2,5887.2,5887.2,5887.2,5887.2,5887.2,5887.2,,5887.2,5887.2,5887.2,5887.2
O-1E,,,,4011.9,4284.0,4442.4,4604.4,4763.40 4981.20,4981.20,4981.2,4981.2,4981.2,4981.2,4981.2,4981.2,4981.2,4981.2,,4981.2,4981.2,4981.2,4981.2
W-5,,,,,,,,,,,7812.6,8208.6,8503.8,8830.5,8830.5,9272.7,9272.7,,9735.6,9735.6,10223.4,10223.4
W-4,4393.80,4726.2,4861.80,4995.3,5225.1,5452.8,5683.2,6029.10 6333.00,6621.90,6858.6,7089.3,7428.0,7706.4,8024.1,8024.1,8184.0,8184.0,,8184.0,8184.0,8184.0,8184.0
W-3,4012.50,4179.6,4351.20,4407.6,4586.7,4940.4,5308.5,5482.20 5682.90,5889.00,6261.0,6511.8,6661.8,6821.1,7038.6,7038.6,7038.6,7038.6,,7038.6,7038.6,7038.6,7038.6
W-2,3550.50,3886.2,3989.70,4060.5,4290.9,4648.8,4826.1,5000.40 5214.00,5381.10,5532.0,5713.2,5832.0,5926.2,5926.2,5926.2,5926.2,5926.2,,5926.2,5926.2,5926.2,5926.2
W-1,3116.40,3452.1,3542.10,3732.6,3957.9,4290.3,4445.1,4662.00 4875.30,5043.30,5197.5,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,5385.3,,5385.3,5385.3,5385.3,5385.3
E-9,,,,,,,5308.2,5428.50 5580.30,5758.20,5938.8,6226.5,6470.7,6726.6,7119.3,7119.3,7474.8,7474.8,,7848.9,7848.9,8241.9,8241.9
E-8,,,,,,4345.5,4537.5,4656.60 4798.80,4953.60,5232.3,5373.6,5613.9,5747.4,6075.6,6075.6,6197.7,6197.7,,6197.7,6197.7,6197.7,6197.7
E-7,3020.70,3296.7,3423.30,3590.1,3720.9,3945.0,4071.6,4295.70 4482.60,4609.80,4745.4,4797.6,4974.3,5068.8,5429.1,5429.1,5429.1,5429.1,,5429.1,5429.1,5429.1,5429.1
E-6,2612.70,2875.2,3002.10,3125.4,3254.1,3543.3,3656.4,3874.80 3941.40,3990.00,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,4046.7,,4046.7,4046.7,4046.7,4046.7
E-5,2393.40,2554.8,2678.10,2804.4,3001.5,3207.0,3376.2,3396.60 3396.60,3396.60,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,3396.6,,3396.6,3396.6,3396.6,3396.6
E-4,2194.50,2307.0,2431.80,2555.4,2664.0,2664.0,2664.0,2664.00 2664.00,2664.00,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,,2664.0,2664.0,2664.0,2664.0
E-3,1981.20,2105.7,2233.50,2233.5,2233.5,2233.5,2233.5,2233.50 2233.50,2233.50,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,2233.5,,2233.5,2233.5,2233.5,2233.5
E-2,1884.00,1884.0,1884.00,1884.0,1884.0,1884.0,1884.0,1884.00 1884.00,1884.00,1884.0,1884.0,1884.0,1884.0,1884.0,1884.0,1884.0,1884.0,,1884.0,1884.0,1884.0,1884.0
